id,edge,startPos,endPos,friendlyPos
-101338586,-11389403#0,210.53,225.53,true
-1383533494,-1066214689#0,75.80,90.80,true
-1383533522,-31091960#2,9.56,24.56,true
-1383533578,-137534616,27.36,42.36,true
-1560223555,-1050686755#3,28.80,43.80,true
-1560223790,-1050686757#2,0.00,10.60,true
-1906421953,-679901152#2,0.00,7.70,true
-355914690,-363443437,40.46,55.46,true
-385200818,-314415495#7,22.80,37.80,true
-3892451598,-178028204#1,16.55,31.55,true
-3892451600,-147053824#4,74.62,89.62,true
1383533459,24152326#0,57.47,72.47,true
1383533461,318210360#0,37.82,52.82,true
1383533462,986672064#0,0.00,7.70,true
1383533492,1066214689#0,38.06,53.06,true
1383533513,679714112,0.71,15.71,true
1383533514,238053689#0,0.00,9.37,true
1383533572,11389403#0,16.54,31.54,true
1383533575,149611526,23.98,38.98,true
1383533577,137534616,34.86,49.86,true
1383533594,1014229941#0,29.35,44.35,true
1383533597,166142947,13.87,28.87,true
1383533607,237122662#0,33.54,48.54,true
1560223236,143308587#0,0.00,7.70,true
1656195133,206889086#0,0.00,9.70,true
1862990707,153021549#1,31.74,46.74,true
1906421957,1072269112,6.18,21.18,true
2391105467,142575672#3,16.01,23.51,true
297194207,113575152#8,46.94,61.94,true
301331956,143308546#0,89.96,104.96,true
306982602,143308542#2,99.75,114.75,true
361152203,70553241#0,3.82,18.82,true
361152205,31091960#2,15.61,30.61,true
3812676495,977639651#0,0.00,12.55,true
3834046602,190928927#2,22.83,37.83,true
3834046603,113575152#0,26.60,41.60,true
3834046604,190928927#10,33.86,48.86,true
385200819,314415495#6,45.79,60.79,true
3892451601,147053824#3,5.30,20.30,true
3893875078,461514282#1,214.95,229.95,true
4017682630,363443437,34.46,49.46,true
464396487,143308542#0,0.00,10.79,true
464396566,670062907#0,0.00,9.35,true
464396589,143308542#10,70.62,85.62,true
5836660322,976351540#0,0.00,12.57,true
664208807,1050686757#2,0.00,9.58,true
671564316,143308532#0,2.62,17.62,true
766875150,178028204#1,61.45,86.45,true
8058787291,976351540#0,0.00,12.57,true
8176926617,976351540#0,0.00,12.57,true
837696418,143308532#3,37.37,52.37,true
837696524,46039050#2,38.05,53.05,true
945142241,1050686755#1,29.90,44.90,true
